Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Trail Running,2024-09-21 06:34:11,false,"Coconino County Trail Running","0.87","135","00:11:25","142","159","2.0","142","227","13:10","8:44","257","--","0.86","0.0","1,626","50.0","No","00:11:25","1","57.2","00:11:25","00:11:25","7,479","7,742"
Trail Running,2024-09-20 15:37:51,false,"Flagstaff Trail Running","2.04","270","00:23:18","145","163","2.4","141","220","11:27","7:27","287","233","1.00","0.0","3,300","69.8","No","00:00:17.3","3","86.0","00:21:40","00:23:18","6,909","7,201"
Running,2024-09-17 17:03:52,false,"Tucson Running","2.94","351","00:30:00","132","164","2.6","156","169","10:13","6:09","83","103","1.01","0.0","4,696","84.2","No","00:30:00","1","93.2","00:30:00","00:30:00","2,366","2,425"
Running,2024-09-11 17:36:47,false,"Tucson Running","7.50","955","01:17:06","148","181","3.5","151","179","10:17","6:00","118","129","1.04","0.0","11,684","86.0","No","00:12:41","3","95.0","01:13:58","01:17:06","2,324","2,439"
Running,2024-09-08 06:20:13,false,"Tucson Running","6.26","780","00:49:24","176","187","4.8","159","171","7:53","6:22","423","407","1.28","0.0","7,838","77.0","No","00:00:38.3","3","89.6","00:49:18","00:49:25","2,395","2,676"
Running,2024-09-06 17:52:43,false,"Tucson Running","5.60","767","00:59:16","159","180","3.4","149","165","10:35","7:29","94","105","1.02","0.0","8,922","89.6","No","00:26:09","2","93.2","00:56:42","00:59:16","2,346","2,448"
Running,2024-09-05 18:15:47,false,"Tucson Running","0.71","84","00:07:34.4","132","140","1.0","158","165","10:43","10:14","7","22","0.95","0.0","1,198","87.8","No","00:07:34.4","1","93.2","00:07:34.4","00:07:34.4","2,406","2,425"
Running,2024-09-04 17:10:05,false,"Tucson Running","5.39","706","01:00:01","153","179","3.3","147","163","11:08","8:52","107","97","0.98","0.0","8,960","93.2","No","00:27:16","2","102.2","00:58:43","01:02:10","2,337","2,384"
Running,2024-09-02 06:04:49,false,"Saguaro National Park 8-Miler","8.14","1,028","01:05:27","177","190","5.0","160","170","8:02","5:57","773","749","1.25","0.0","10,492","73.4","No","00:14:52","3","82.4","01:05:24","01:05:29","2,833","3,226"
Running,2024-08-30 07:12:03,false,"Tucson Running","3.26","402","00:32:01","141","177","3.1","153","176","9:49","5:35","87","83","1.07","0.0","4,904","78.8","No","00:02:34.7","2","86.0","00:31:26","00:32:01","2,395","2,449"
Running,2024-08-28 15:34:38,false,"For the beers tonight - Base","4.08","527","00:40:21","154","170","3.2","150","167","9:53","7:44","59","90","1.09","0.0","6,142","87.8","No","00:02:45.4","3","98.6","00:38:56","00:41:28","2,357","2,441"
Running,2024-08-27 05:43:44,false,"Tucson Running","7.75","960","01:22:11","141","164","3.2","155","165","10:36","7:50","136","117","0.98","0.0","12,792","78.8","No","00:16:01","3","84.2","01:20:25","01:22:27","2,322","2,442"
Running,2024-08-26 15:54:26,false,"Tucson Running","2.65","322","00:28:01","136","165","2.5","151","163","10:33","8:21","65","75","1.01","0.0","4,260","86.0","No","00:28:01","1","93.2","00:27:46","00:28:01","2,407","2,454"
Running,2024-08-24 17:22:01,false,"Tucson Running","3.20","410","00:32:00","150","186","3.0","148","167","10:00","6:44","77","90","1.08","0.0","4,780","87.8","No","00:01:54.3","2","95.0","00:30:18","00:32:00","2,331","2,421"
Running,2024-08-24 08:50:57,false,"Tucson Running","3.22","384","00:28:00","153","182","3.3","155","182","8:42","5:48","88","104","1.18","0.0","4,374","82.4","No","00:02:05.1","2","89.6","00:27:55","00:28:15","2,416","2,469"
Running,2024-08-21 05:30:02,false,"Tucson Running","5.22","646","00:50:18","145","169","3.4","156","170","9:38","6:02","83","86","1.07","0.0","7,894","77.0","No","00:20:36","2","84.2","00:49:43","00:50:18","2,334","2,426"
Running,2024-08-20 16:13:36,false,"Tucson Running","8.00","1,045","01:31:16","154","175","3.4","152","231","11:25","7:34","182","173","0.93","0.0","13,900","86.0","No","00:22:27","3","105.8","01:31:05","01:31:59","2,333","2,455"
Running,2024-08-19 16:07:28,false,"Tucson Running","1.01","118","00:11:45","119","129","1.1","158","162","11:41","10:58","28","38","0.87","0.0","1,862","86.0","No","00:11:45","1","102.2","00:11:45","00:11:45","2,400","2,428"
Running,2024-08-17 10:51:49,false,"Tucson Running","13.25","1,765","02:32:37","156","184","4.1","146","234","11:31","7:35","257","267","0.96","0.0","22,354","93.2","No","00:10:20","5","104.0","02:22:41","02:32:37","2,188","2,362"
Running,2024-08-13 16:16:56,false,"Tucson Running","5.80","786","00:58:10","162","190","3.8","150","165","10:02","7:29","97","135","1.07","0.0","8,812","89.6","No","00:08:57.7","6","100.4","00:55:49","00:58:10","2,348","2,469"
Running,2024-08-12 16:10:37,false,"Tucson - Recovery","5.00","615","00:55:51","136","154","2.7","153","165","11:10","9:13","99","112","0.94","0.0","8,618","86.0","No","00:05:05.2","6","93.2","00:54:51","00:55:51","2,371","2,440"
Running,2024-08-11 09:59:32,false,"Tucson Running","13.24","1,697","02:14:00","156","191","4.6","152","233","10:07","6:38","291","282","1.04","0.0","20,542","82.4","No","00:02:24.0","14","91.4","02:08:44","02:14:00","2,216","2,336"
Running,2024-08-09 11:00:25,false,"Tucson - Anaerobic","6.23","792","00:58:57","161","190","3.9","159","176","9:28","5:38","96","121","1.07","0.0","9,350","93.2","No","00:00:01.9","19","98.6","00:58:49","00:58:57","2,332","2,408"
Running,2024-08-07 13:46:47,false,"Tucson Running","5.22","650","01:00:01","136","157","2.7","152","212","11:30","9:06","108","103","0.92","0.0","9,156","89.6","No","00:02:05.8","6","98.6","00:57:51","01:00:01","2,323","2,394"
Running,2024-08-05 16:51:49,false,"Tucson Running","4.75","624","00:48:09","159","193","3.8","140","192","10:08","4:43","82","131","1.13","0.0","6,830","87.8","No","00:08:28.4","5","102.2","00:44:52","00:48:29","2,351","2,449"
Running,2024-08-03 12:53:56,false,"Tucson Running","10.23","1,450","02:15:01","157","191","3.7","142","241","13:12","7:44","263","232","0.86","0.0","19,354","95.0","No","00:03:31.5","11","111.2","02:06:45","02:15:10","2,314","2,446"
Running,2024-08-01 15:28:56,false,"Tucson Running","6.23","834","01:10:40","151","182","3.2","148","235","11:21","7:03","108","139","0.96","0.0","10,594","84.2","No","00:02:15.5","7","100.4","01:06:24","01:10:40","2,351","2,472"
Running,2024-07-30 15:22:41,false,"Tucson Running","6.24","879","01:11:45","159","185","3.4","149","234","11:30","7:56","112","126","0.94","0.0","10,714","86.0","No","00:04:03.2","7","102.2","01:09:25","01:11:45","2,337","2,440"
Running,2024-07-29 10:33:35,false,"Tucson - VO2 Max","4.51","627","00:43:01","170","197","4.3","146","167","9:32","6:48","93","96","1.14","0.0","6,338","91.4","No","00:00:00.8","19","98.6","00:43:01","00:43:01","2,329","2,372"
Treadmill Running,2024-07-23 21:21:01,false,"Treadmill Running","1.30","171","00:15:08","139","163","2.1","110","218","11:39","6:08","--","--","0.87","0.0","1,666","80.6","No","00:07:04.0","2","86.0","00:09:22.9","00:15:08","--","--"
Running,2024-07-23 20:54:52,false,"Boise Running","2.15","258","00:21:42","138","152","2.5","157","161","10:05","8:51","57","15","1.02","0.0","3,394","86.0","No","00:01:24.2","3","89.6","00:21:35","00:21:51","2,741","2,760"
Running,2024-07-22 06:56:02,false,"Boise Running","6.23","789","01:09:27","137","161","3.1","143","165","11:09","7:47","83","98","1.01","0.0","10,158","77.0","No","00:01:53.3","7","84.2","01:03:17","01:09:27","2,711","2,769"
Running,2024-07-20 11:00:02,false,"Tucson - Base","5.76","775","01:00:01","159","188","3.6","150","229","10:25","6:22","137","78","1.03","0.0","9,020","93.2","No","00:09:13.9","6","102.2","01:00:00","01:00:01","2,288","2,391"
Running,2024-07-17 17:12:04,false,"Tucson - Recovery","1.30","158","00:13:41","136","148","2.0","160","167","10:32","9:43","24","45","0.96","0.0","2,178","84.2","No","00:02:59.0","2","96.8","00:13:34","00:13:41","2,460","2,483"
Running,2024-07-16 18:07:27,false,"Tucson Running","4.16","522","00:50:50","140","160","2.4","154","217","12:14","9:53","117","128","0.85","0.0","7,838","87.8","No","00:03:08.0","5","96.8","00:50:18","00:50:50","2,434","2,483"
Running,2024-07-14 08:31:11,false,"Tucson Running","11.13","1,472","02:00:00","155","188","4.1","146","231","10:47","6:13","467","465","1.01","0.0","17,898","84.2","No","00:02:12.6","12","100.4","01:53:43","02:00:00","2,207","2,350"
Running,2024-07-11 11:17:20,false,"Tucson Running","3.19","390","00:30:01","145","178","3.1","154","165","9:24","6:26","151","135","1.12","0.0","4,616","89.6","No","00:02:32.3","4","102.2","00:29:57","00:30:01","2,420","2,474"
Running,2024-07-09 15:29:53,false,"Tucson Running","6.23","843","01:10:31","152","180","3.3","147","234","11:20","7:33","122","136","0.97","0.0","10,408","89.6","No","00:02:54.8","7","102.2","01:07:02","01:10:31","2,344","2,449"
Running,2024-07-06 12:31:19,false,"Tucson Running","14.15","1,850","03:00:00","151","179","3.7","142","239","12:43","7:26","281","410","0.89","0.0","25,814","86.0","No","00:02:41.0","15","104.0","02:47:29","03:00:00","2,187","2,428"
Running,2024-07-05 11:47:33,false,"Intervals for the great Garmin running God. All praise Garmin 🙇‍♂️🙇🙇‍","4.33","565","00:48:11","151","192","3.3","143","232","11:08","4:48","100","93","1.00","0.0","6,950","91.4","No","00:05:54.8","5","104.0","00:48:05","00:48:11","2,342","2,405"
Running,2024-07-03 17:06:56,false,"Tucson Running","8.30","1,160","01:41:43","155","188","3.4","149","231","12:15","5:12","179","177","0.88","0.0","15,296","86.0","No","00:05:31.8","9","104.0","01:39:25","01:41:45","2,333","2,442"
Running,2024-07-01 20:01:06,false,"Tucson Running","3.50","438","00:34:11","148","177","3.1","154","186","9:45","4:14","98","107","1.07","0.0","5,294","82.4","No","00:04:35.5","4","89.6","00:33:58","00:34:11","2,399","2,455"
Running,2024-06-29 10:57:02,false,"crashing and burning","14.37","1,982","03:00:01","157","190","4.3","142","234","12:32","5:32","244","277","0.90","0.0","25,798","86.0","No","00:07:48.7","15","100.4","02:50:49","03:00:01","2,273","2,444"
Running,2024-06-27 16:02:34,false,"Tucson Running","6.22","871","01:09:20","156","191","3.5","145","234","11:08","7:01","125","126","1.00","0.0","10,126","86.0","No","00:03:38.5","7","105.8","01:05:47","01:09:20","2,330","2,438"
Trail Running,2024-06-26 18:22:15,false,"Pima County Trail Running","3.51","636","01:19:34","127","166","2.3","85","236","22:42","6:16","815","809","0.84","0.0","7,342","75.2","No","00:09:24.9","4","84.2","01:00:08","01:19:36","7,514","8,164"
Running,2024-06-24 11:51:18,false,"Tucson Running","3.54","454","00:38:01","145","177","2.8","157","229","10:45","4:51","77","74","0.96","0.0","5,962","84.2","No","00:06:01.0","4","98.6","00:37:38","00:38:01","2,411","2,457"
Running,2024-06-23 08:54:41,false,"Tucson Running","7.50","980","01:18:21","155","191","3.8","152","229","10:27","5:04","109","134","1.01","0.0","11,966","84.2","No","00:06:26.1","8","95.0","01:17:33","01:18:25","2,325","2,444"
Running,2024-06-22 13:25:21,false,"Tucson Running","3.50","448","00:42:02","134","168","2.3","150","177","12:00","5:36","256","243","0.89","0.0","6,358","77.0","No","00:05:04.4","4","93.2","00:40:05","00:42:02","2,290","2,433"
Running,2024-06-21 14:39:03,false,"Tucson - Anaerobic - ughhhh","4.67","650","00:45:01","165","194","4.2","159","176","9:39","5:05","73","67","1.05","0.0","7,104","91.4","No","00:01:00","16","102.2","00:45:01","00:45:01","2,337","2,375"
Running,2024-06-18 15:37:43,false,"Los Angeles - Recovery","5.00","620","00:54:21","134","147","2.9","152","163","10:52","9:04","80","62","0.98","0.0","8,310","77.0","No","00:04:46.0","6","86.0","00:53:31","00:56:20","-19","12"
Running,2024-06-17 09:57:05,false,"Los Angeles Running","9.12","1,133","01:42:31","136","171","3.5","140","231","11:14","6:05","167","153","1.03","0.0","14,494","77.0","No","00:00:51.9","10","84.2","01:35:17","01:42:31","-104","28"
Running,2024-06-13 18:19:36,false,"Tucson Running","6.00","781","00:55:47","163","186","4.1","153","175","9:18","6:13","149","89","1.13","0.0","8,598","87.8","No","00:08:46.3","6","95.0","00:54:52","00:55:47","2,340","2,496"
Running,2024-06-12 16:57:01,false,"Tucson Running","3.12","375","00:32:32","141","165","2.8","156","163","10:26","8:00","106","102","0.99","0.0","5,088","87.8","No","00:01:03.0","4","100.4","00:32:31","00:32:32","2,434","2,469"
Trail Running,2024-06-11 17:50:35,false,"Pima County Trail Running","4.33","775","01:22:59","139","168","2.8","97","239","19:10","6:21","1,080","1,066","0.86","0.0","8,818","73.4","No","00:03:20.9","5","84.2","01:02:57","01:22:59","7,360","8,148"
Running,2024-06-09 14:08:19,false,"Tucson Summer Classic 1/3","13.33","1,803","02:40:46","157","178","4.1","146","229","12:04","8:11","303","291","0.91","0.0","23,700","95.0","No","00:05:06.6","14","107.6","02:34:12","02:40:46","2,333","2,483"
Running,2024-06-05 17:52:47,false,"Tucson Running","9.66","1,298","01:53:03","151","174","3.6","150","232","11:42","7:58","129","180","0.92","0.0","17,112","89.6","No","00:07:57.4","10","96.8","01:46:40","01:54:29","2,328","2,474"
Running,2024-06-04 16:47:26,false,"Tucson Running","1.33","161","00:14:11","131","168","2.0","156","162","10:38","6:40","50","40","0.97","0.0","2,208","87.8","No","00:02:52.5","2","96.8","00:14:10","00:14:11","2,422","2,468"
Running,2024-06-03 15:52:21,false,"Tucson - Recovery","3.22","409","00:38:01","142","154","2.3","156","163","11:48","10:39","90","109","0.87","0.0","5,942","86.0","No","00:04:46.6","4","102.2","00:37:53","00:38:01","2,406","2,444"
Running,2024-06-01 19:01:14,false,"Tucson Running","3.14","394","00:23:37","182","195","4.2","158","167","7:31","6:16","39","47","1.35","0.0","3,726","86.0","No","00:00:57.5","4","89.6","00:23:36","00:23:37","2,360","2,399"
Running,2024-06-01 17:58:14,false,"Tucson Running","1.63","235","00:19:51","138","167","2.3","122","201","12:09","7:21","40","33","1.09","0.0","2,514","86.0","No","00:07:10.6","2","95.0","00:16:03","00:44:34","2,375","2,404"
Running,2024-05-31 15:10:56,false,"Tucson - Recovery","3.85","495","00:47:21","143","163","2.3","155","165","12:18","10:07","137","132","0.84","0.0","7,418","89.6","No","00:02:48.0","5","104.0","00:46:30","00:47:21","2,394","2,469"
Running,2024-05-29 16:47:20,false,"Tucson Running","2.65","367","00:30:04","152","166","2.7","149","163","11:21","9:22","84","43","0.96","0.0","4,606","86.0","No","00:06:54.3","3","96.8","00:28:25","00:30:45","2,348","2,419"
Running,2024-05-29 16:12:18,false,"Tucson Running","2.76","349","00:30:00","140","162","2.5","153","175","10:53","8:41","67","82","0.97","0.0","4,706","84.2","No","00:08:14.9","3","100.4","00:29:02","00:30:13","2,377","2,420"
Running,2024-05-28 18:16:35,false,"Tucson Running","2.80","357","00:30:04","140","157","2.5","155","165","10:45","9:13","24","66","0.97","0.0","4,706","87.8","No","00:08:16.8","3","91.4","00:29:37","00:30:04","2,391","2,448"
Running,2024-05-27 17:40:23,false,"Tucson Running","9.66","1,287","01:42:08","155","178","4.0","152","198","10:34","7:37","182","184","1.00","0.0","15,626","86.0","No","00:07:46.6","10","98.6","01:38:28","01:42:08","2,304","2,427"
Running,2024-05-26 16:51:45,false,"Tucson Running","3.50","455","00:37:05","147","164","3.0","157","163","10:35","8:14","162","179","0.97","0.0","5,840","86.0","No","00:05:01.3","4","96.8","00:36:59","00:37:05","2,394","2,444"
Running,2024-05-23 17:48:14,false,"Tucson Running","6.00","783","00:58:30","156","182","4.1","149","163","9:45","6:23","104","113","1.10","0.0","8,850","84.2","No","00:00:01.4","7","95.0","00:55:57","00:58:30","2,314","2,415"
Running,2024-05-22 13:30:13,false,"Tucson Running","3.20","395","00:35:01","133","149","2.5","152","167","10:56","9:08","82","98","0.97","0.0","5,352","86.0","No","00:02:01.8","4","96.8","00:33:53","00:35:34","2,428","2,467"
Running,2024-05-20 16:35:27,false,"Zone II 🥳💜🦐","5.25","647","01:04:30","129","138","2.6","149","167","12:17","9:16","83","107","0.88","0.0","9,724","82.4","No","00:03:29.0","6","93.2","01:01:01","01:04:34","2,331","2,428"
Running,2024-05-19 13:10:25,false,"Tucson - Recovery","3.62","450","00:40:01","138","161","2.6","158","163","11:04","8:07","125","131","0.92","0.0","6,324","84.2","No","00:03:00.9","5","98.6","00:39:55","00:40:01","2,404","2,474"
Running,2024-05-18 06:46:04,false,"Tucson 5000","3.11","378","00:22:33","180","194","4.4","159","169","7:15","6:40","58","30","1.39","0.0","3,594","71.6","No","00:00:43.6","4","80.6","00:22:32","00:22:33","2,423","2,477"
Running,2024-05-16 16:57:42,false,"Tucson Running","3.75","491","00:38:09","148","170","3.3","154","163","10:10","7:59","97","55","1.03","0.0","5,946","82.4","No","00:07:07.0","4","87.8","00:37:20","00:38:09","2,407","2,462"
Running,2024-05-15 10:59:30,false,"Tucson - Base","5.66","773","01:00:00","152","192","3.9","148","176","10:36","5:34","77","83","1.02","0.0","8,980","84.2","No","00:02:00.4","7","93.2","00:57:23","01:00:00","2,376","2,442"
Running,2024-05-13 12:32:57,false,"Tucson - Recovery","2.01","245","00:22:20","128","139","2.2","158","163","11:07","9:33","46","48","0.92","0.0","3,526","86.0","No","00:00:19.7","3","96.8","00:22:19","00:22:20","2,423","2,458"
Running,2024-05-12 10:20:22,false,"Tucson - Base","6.22","828","01:03:11","158","184","4.2","154","165","10:09","6:31","127","126","1.03","0.0","9,768","84.2","No","00:05:11.3","7","93.2","01:02:25","01:03:11","2,238","2,301"
Running,2024-05-10 17:00:58,false,"Tucson Running","3.25","436","00:37:33","146","157","2.8","152","165","11:33","8:57","85","110","0.92","0.0","5,736","87.8","No","00:02:41.4","4","95.0","00:36:05","00:37:33","2,384","2,445"
Running,2024-05-09 16:23:39,false,"Tucson - Recovery","3.01","395","00:31:34","147","163","3.0","156","165","10:29","9:08","72","78","0.98","0.0","4,932","87.8","No","00:03:05.9","4","95.0","00:31:33","00:31:39","2,396","2,432"
Running,2024-05-08 15:28:56,false,"Tucson Running","7.51","1,056","01:23:34","159","179","4.0","149","223","11:08","9:01","142","146","0.97","0.0","12,666","86.0","No","00:05:50.0","8","96.8","01:19:58","01:25:06","2,325","2,429"
Running,2024-05-06 13:11:57,false,"Tucson Running","1.51","183","00:17:21","123","137","2.0","155","161","11:32","9:25","32","31","0.90","0.0","2,722","78.8","No","00:05:36.5","2","89.6","00:17:11","00:17:21","2,395","2,423"
Running,2024-05-05 07:05:59,false,"Tucson Running","6.23","812","00:54:11","171","198","5.0","158","174","8:42","5:33","318","342","1.17","0.0","8,578","68.0","No","00:01:50.7","7","84.2","00:54:09","00:54:11","2,440","2,633"
Running,2024-05-02 12:47:31,false,"Tucson Running","1.33","168","00:15:12","127","138","2.1","149","163","11:24","9:27","36","31","0.95","0.0","2,310","84.2","No","00:03:44.6","2","95.0","00:14:26","00:15:12","2,387","2,413"
Running,2024-04-29 16:33:05,false,"Tucson - Base","3.01","376","00:30:39","142","162","3.0","156","163","10:11","7:51","75","82","1.01","0.0","4,800","84.2","No","00:00:05.7","4","93.2","00:30:38","00:30:39","2,414","2,459"
