Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-05-16 11:44:01,false,"Tucson Running","0.96","128","00:11:00","137","160","2.1","139","163","11:28","9:04","205","189","1.01","0.0","1,560","89.6","No","00:11:00","1","95.0","00:09:46","00:11:00","2,398","2,442"
Running,2025-05-16 10:01:38,false,"Tucson Running","1.00","129","00:11:10","138","159","2.1","143","165","11:09","8:06","134","167","1.01","0.0","1,650","84.2","No","00:11:10","1","86.0","00:10:13","00:11:10","2,385","2,458"
Running,2025-05-15 15:08:15,false,"Tucson Running","4.40","543","00:48:25","139","163","3.0","147","165","11:00","7:53","82","63","1.00","0.0","7,170","87.8","No","00:14:12","2","96.8","00:45:41","00:48:25","2,377","2,449"
Running,2025-05-13 12:43:45,false,"Tucson - Base","3.15","380","00:30:01","147","175","3.3","154","165","9:31","7:22","96","87","1.09","0.0","4,662","87.8","No","00:00:00.6","3","95.0","00:29:28","00:30:01","2,387","2,435"
Running,2025-04-30 15:57:00,false,"Tucson Running","6.23","802","01:07:30","151","175","3.5","148","224","10:50","7:41","461","451","1.00","0.0","10,114","82.4","No","00:00:28.8","3","95.0","01:03:47","01:07:30","2,323","2,446"
Running,2025-04-25 16:44:04,false,"Tucson Running","10.00","1,270","01:48:51","155","183","4.3","144","232","10:53","5:30","331","339","1.03","0.0","15,892","84.2","No","00:07:26.2","4","96.8","01:42:19","01:50:00","2,322","2,428"
Running,2025-04-23 17:26:31,false,"Tucson Running","3.15","379","00:30:01","142","178","3.3","158","167","9:31","6:43","110","114","1.07","0.0","4,748","84.2","No","00:00:32.1","2","93.2","00:30:00","00:30:01","2,392","2,432"
Running,2025-04-22 15:53:47,false,"Tucson Running","5.34","701","00:56:00","154","185","3.7","148","219","10:29","6:43","125","156","1.03","0.0","8,398","84.2","No","00:24:24","2","95.0","00:53:31","00:56:00","2,351","2,462"
Running,2025-04-21 16:38:13,false,"Tucson Running","2.50","304","00:27:01","138","153","2.6","152","165","10:49","6:47","74","88","0.98","0.0","4,220","87.8","No","00:27:01","1","95.0","00:26:23","00:27:01","2,402","2,442"
Running,2025-04-10 18:18:36,false,"Tucson Running","1.16","164","00:16:25","130","157","2.2","112","167","14:12","7:54","22","25","1.01","0.0","1,842","86.0","No","00:16:25","1","89.6","00:11:29","00:16:25","2,406","2,428"
